;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Desagregación 2;Nacional;Nacional Urbano-Rural;Área;Nacional Urbano;Nacional Rural;Provincial;Azuay;Bolívar;Cañar;Carchi;Cotopaxi;Chimborazo;El Oro;Esmeraldas;Guayas;Imbabura;Loja;Los Ríos;Manabí;Morona Santiago;Napo;Pastaza;Pichincha;Tungurahua;Zamora Chinchipe;Galápagos;Sucumbíos;Orellana;Santo Domingo de los Tsáchilas;Santa Elena;Amazonía;Dominios;Quito;Guayaquil;Cuenca;Machala;Ambato;Resto sierra urbano;Resto costa urbano;Amazonía urbano;Sexo;Hombre;Mujer;Edad;Entre 15 y 24 años;Entre 25 y 34 años;Entre 35 y 44 años;Entre 45 y 64 años;65 años y más ;Etnia;Indígena;Afro ecuatoriano;Mestizo/a;Blanco;Montubio;Otro Cuál?;
dic-09;Subempleo por insuficiencia de tiempo de trabajo;;764.486;;479.299;285.187;;39.992;7.541;16.061;13.164;11.027;13.542;44.618;22.327;230.867;22.979;24.964;45.841;102.708;-;-;-;112.056;25.864;-;-;-;-;-;-;22.835;;56.185;119.629;13.242;17.348;7.137;88.981;169.398;7.379;;419.036;345.450;;158.542;155.074;169.676;241.361;39.833;;39.384;41.188;621.762;59.248;-;2.903;
dic-09;Subempleo por insuficiencia de ingresos;;307.129;;185.556;121.573;;12.462;6.346;5.689;4.841;8.263;11.606;16.384;7.824;87.041;11.047;13.433;12.617;33.358;-;-;-;44.096;15.704;-;-;-;-;-;-;10.991;;22.931;55.881;2.259;5.489;2.407;32.489;59.556;4.544;;217.168;89.961;;80.074;68.559;74.714;76.792;6.991;;23.572;14.418;250.581;16.858;-;1.699;
dic-09;Empleo no remunerado;;582.204;;213.115;369.089;;33.322;25.609;14.275;5.503;50.089;57.524;14.877;13.003;69.112;13.818;32.084;13.589;33.383;-;-;-;83.686;46.853;-;-;-;-;-;-;60.761;;48.772;39.667;12.051;4.393;10.987;41.864;46.089;9.292;;191.833;390.371;;221.935;88.187;86.147;138.842;47.092;;130.821;10.929;408.631;30.041;-;1.782;
dic-09;Otro Empleo no pleno;;1.778.578;;951.354;827.224;;101.402;35.489;38.941;30.239;75.076;85.661;72.894;59.966;354.677;65.136;69.231;110.513;162.295;-;-;-;305.315;98.635;-;-;-;-;-;-;105.667;;124.628;186.591;37.621;23.676;30.570;222.395;293.863;32.010;;1.023.151;755.428;;362.292;287.743;311.808;548.192;268.543;;184.427;73.452;1.418.955;98.200;-;3.544;
dic-09;Empleo no clasificado;;127.047;;120.344;6.703;;4.174;29;425;440;66;115;976;1.829;8.558;2.383;1.039;1.503;714;-;-;-;95.992;4.376;-;-;-;-;-;-;4.428;;94.293;8.361;3.142;976;4.157;4.346;3.585;1.484;;83.250;43.797;;13.181;25.950;27.891;48.921;11.103;;1.976;2.898;96.379;25.125;-;669;
dic-09;Desempleo;;423.802;;347.068;76.734;;13.181;1.225;4.459;3.447;5.734;3.839;19.888;12.992;177.832;11.523;9.587;16.799;35.881;-;-;-;79.366;8.852;-;-;-;-;-;-;18.431;;50.346;129.665;9.064;10.227;4.180;46.842;87.873;8.871;;201.625;222.177;;194.976;113.590;50.208;59.140;5.888;;14.378;25.819;347.652;35.953;-;0;
dic-09;Desempleo Abierto;;294.590;;265.013;29.576;;9.322;794;2.127;1.718;2.571;2.297;15.125;7.975;142.508;6.907;4.935;6.690;20.766;-;-;-;57.602;6.089;-;-;-;-;-;-;6.689;;40.093;118.517;7.386;8.917;3.680;31.125;51.166;4.128;;143.825;150.765;;129.714;90.075;36.131;35.257;3.414;;4.070;19.740;243.213;27.567;-;0;
dic-09;Desempleo Oculto;;129.212;;82.054;47.158;;3.858;432;2.332;1.729;3.163;1.542;4.763;5.016;35.325;4.616;4.652;10.109;15.114;-;-;-;21.764;2.763;-;-;-;-;-;-;11.742;;10.253;11.148;1.678;1.309;500;15.718;36.706;4.743;;57.800;71.412;;65.263;23.515;14.077;23.884;2.474;;10.308;6.079;104.439;8.386;-;0;
dic-09;Desempleo Cesante;;277.080;;241.255;35.825;;9.471;541;2.997;1.555;1.401;1.967;13.103;7.102;127.758;5.661;5.994;8.962;22.296;-;-;-;54.149;5.887;-;-;-;-;-;-;7.763;;41.287;105.149;7.230;8.251;3.695;23.627;47.162;4.855;;143.234;133.846;;93.517;89.287;39.782;49.635;4.858;;7.102;18.426;226.949;24.603;-;0;
dic-09;Desempleo Nuevo;;146.722;;105.813;40.909;;3.710;685;1.461;1.892;4.334;1.873;6.785;5.890;50.075;5.861;3.593;7.837;13.584;-;-;-;25.217;2.965;-;-;-;-;-;-;10.667;;9.059;24.517;1.834;1.976;485;23.215;40.711;4.016;;58.391;88.331;;101.459;24.302;10.426;9.505;1.030;;7.276;7.393;120.703;11.350;-;0;
dic-09;Población Económicamente Inactiva;;3.483.779;;2.411.387;1.072.392;;170.508;36.820;52.094;49.155;78.347;96.247;158.177;115.893;908.590;108.379;107.836;227.678;413.622;-;-;-;711.422;94.792;-;-;-;-;-;-;143.597;;421.902;482.168;109.819;48.070;45.864;470.895;775.788;56.881;;965.555;2.518.224;;1.379.115;370.280;338.067;633.665;762.652;;134.170;128.981;2.959.952;251.721;-;8.955;
jun-10;Población Total;;14.180.534;;9.406.062;4.774.472;;714.341;185.049;234.467;171.943;423.336;461.268;642.479;460.668;3.744.351;421.930;446.809;780.443;1.366.173;-;-;-;2.796.838;528.613;-;-;-;-;-;-;708.566;;1.603.972;2.276.294;399.732;239.153;203.079;1.752.994;2.702.280;228.559;;6.956.754;7.223.780;;2.688.421;1.800.788;1.675.119;2.688.151;1.294.907;;980.264;687.529;9.904.067;918.457;541.795;9.101;
jun-10;Población menor de 15 años;;4.033.148;;2.505.781;1.527.367;;190.161;54.844;72.770;48.265;135.023;128.684;178.645;158.165;1.094.019;120.398;124.222;226.013;402.669;-;-;-;666.383;131.088;-;-;-;-;-;-;265.532;;338.767;661.408;98.496;66.132;48.702;456.475;767.638;68.163;;2.058.845;1.974.303;;0;0;0;0;0;;272.904;178.980;2.153.220;175.371;111.353;1.998;
jun-10;Población en Edad de Trabajar (PET);;10.147.386;;6.900.281;3.247.105;;524.180;130.205;161.697;123.678;288.313;332.584;463.834;302.503;2.650.332;301.532;322.587;554.430;963.504;-;-;-;2.130.455;397.525;-;-;-;-;-;-;443.034;;1.265.205;1.614.886;301.236;173.021;154.377;1.296.519;1.934.642;160.396;;4.897.909;5.249.477;;2.688.421;1.800.788;1.675.119;2.688.151;1.294.907;;707.360;508.548;7.750.847;743.086;430.442;7.102;
jun-10;Población Económicamente Activa;;6.582.460;;4.414.069;2.168.390;;366.035;90.848;113.730;81.521;204.796;231.176;303.877;177.851;1.721.707;185.605;206.210;344.644;566.319;-;-;-;1.354.387;289.377;-;-;-;-;-;-;310.560;;764.375;1.078.736;200.815;112.087;104.206;835.282;1.212.499;106.070;;3.911.014;2.671.446;;1.282.934;1.430.216;1.348.926;2.021.727;498.657;;528.585;332.950;5.004.365;446.364;265.365;4.831;
jun-10;Empleo;;6.174.141;;4.075.417;2.098.724;;352.235;86.950;108.809;78.002;198.775;223.011;289.940;165.332;1.575.258;175.000;195.194;321.650;522.380;-;-;-;1.271.125;281.473;-;-;-;-;-;-;296.851;;713.002;981.795;192.712;106.007;100.811;782.029;1.101.362;97.700;;3.716.323;2.457.818;;1.106.490;1.318.146;1.301.203;1.958.821;489.481;;513.236;308.489;4.681.684;418.889;247.585;4.259;
jun-10;Empleo Adecuado/Pleno;;2.715.542;;2.211.148;504.394;;149.857;15.936;33.044;26.323;55.388;59.215;139.730;64.531;776.746;66.423;61.063;133.443;185.741;-;-;-;744.873;97.540;-;-;-;-;-;-;96.218;;476.601;549.668;115.869;54.579;52.609;404.276;499.646;57.901;;1.839.160;876.383;;339.961;705.163;641.811;909.082;119.525;;93.291;125.043;2.213.836;216.346;64.538;2.488;
jun-10;Subempleo;;1.041.266;;663.688;377.578;;48.453;15.029;18.754;13.435;19.671;29.877;54.840;23.882;308.007;35.525;33.675;70.531;124.234;-;-;-;145.089;45.223;-;-;-;-;-;-;48.246;;63.071;165.229;20.479;20.047;14.233;123.985;243.679;12.966;;596.889;444.377;;202.654;220.276;249.883;327.762;40.691;;77.955;61.662;761.283;65.796;74.213;358;
jun-10;Subempleo por insuficiencia de tiempo de trabajo;;762.700;;499.598;263.103;;34.137;10.218;12.555;9.987;11.688;18.022;41.405;16.926;229.831;21.789;22.062;55.916;103.138;-;-;-;104.570;28.668;-;-;-;-;-;-;37.691;;46.226;119.419;14.631;14.910;10.314;89.826;194.115;10.156;;401.557;361.143;;148.392;158.774;180.565;240.778;34.191;;51.988;44.986;558.220;48.642;58.613;251;
jun-10;Subempleo por insuficiencia de ingresos;;278.566;;164.090;114.475;;14.316;4.812;6.199;3.448;7.983;11.855;13.435;6.956;78.176;13.736;11.613;14.615;21.096;-;-;-;40.519;16.555;-;-;-;-;-;-;10.555;;16.844;45.810;5.848;5.137;3.919;34.159;49.564;2.810;;195.331;83.234;;54.262;61.502;69.318;86.984;6.500;;25.967;16.676;203.063;17.154;15.600;106;
jun-10;Empleo no remunerado;;518.542;;170.555;347.988;;31.848;22.590;17.653;7.362;47.513;52.359;16.653;10.959;52.509;11.253;27.851;13.753;41.194;-;-;-;55.560;47.404;-;-;-;-;-;-;56.922;;21.391;21.716;12.666;4.598;10.143;40.953;53.795;5.291;;169.134;349.408;;196.870;82.984;72.061;116.912;49.716;;135.192;16.828;329.953;21.205;15.142;222;
jun-10;Otro Empleo no pleno;;1.811.893;;958.283;853.610;;118.249;33.224;38.419;30.603;76.203;81.072;75.065;65.432;400.997;61.061;66.493;102.435;168.718;-;-;-;298.268;90.354;-;-;-;-;-;-;95.159;;125.577;210.938;42.613;24.454;23.016;210.829;299.547;21.309;;1.057.750;754.142;;357.243;293.105;319.084;572.696;269.764;;205.047;103.651;1.310.388;98.821;92.795;1.191;
jun-10;Empleo no clasificado;;86.898;;71.743;15.155;;3.829;170;939;279;0;487;3.653;527;36.999;739;6.112;1.488;2.493;-;-;-;27.335;953;-;-;-;-;-;-;306;;26.362;34.244;1.085;2.328;810;1.986;4.694;234;;53.390;33.508;;9.762;16.617;18.365;32.369;9.785;;1.750;1.305;66.225;16.722;896;0;
jun-10;Desempleo;;408.318;;338.652;69.666;;13.800;3.898;4.921;3.519;6.021;8.165;13.937;12.519;146.449;10.604;11.016;22.994;43.939;-;-;-;83.262;7.904;-;-;-;-;-;-;13.709;;51.374;96.941;8.102;6.080;3.395;53.253;111.137;8.369;;194.691;213.628;;176.444;112.071;47.723;62.905;9.176;;15.349;24.461;322.681;27.475;17.780;572;
jun-10;Desempleo Abierto;;295.709;;258.837;36.872;;8.809;1.620;2.627;1.739;3.777;4.218;11.102;8.169;118.047;5.918;6.474;12.891;30.976;-;-;-;64.198;6.177;-;-;-;-;-;-;8.265;;43.100;86.811;5.721;5.337;2.566;34.678;75.600;5.023;;152.300;143.408;;130.725;84.478;35.105;40.863;4.537;;10.065;15.956;237.219;20.526;11.576;368;
jun-10;Desempleo Oculto;;112.610;;79.815;32.794;;4.990;2.278;2.294;1.780;2.244;3.948;2.835;4.350;28.402;4.686;4.542;10.103;12.963;-;-;-;19.065;1.727;-;-;-;-;-;-;5.444;;8.273;10.130;2.381;743;829;18.575;35.537;3.347;;42.390;70.219;;45.719;27.593;12.618;22.042;4.638;;5.285;8.505;85.462;6.949;6.205;204;
jun-10;Desempleo Cesante;;253.325;;215.747;37.578;;9.855;1.274;2.809;1.449;2.198;4.138;10.268;6.765;95.492;4.028;6.740;10.712;25.799;-;-;-;59.624;2.987;-;-;-;-;-;-;8.230;;40.550;70.890;6.459;4.886;1.614;27.590;59.041;4.716;;132.243;121.082;;79.860;77.833;38.467;49.805;7.361;;7.399;15.157;203.368;16.742;10.314;345;
jun-10;Desempleo Nuevo;;154.993;;122.905;32.088;;3.945;2.624;2.112;2.070;3.823;4.027;3.669;5.755;50.958;6.576;4.276;12.282;18.141;-;-;-;23.638;4.917;-;-;-;-;-;-;5.479;;10.823;26.051;1.643;1.194;1.781;25.663;52.096;3.653;;62.447;92.546;;96.584;34.238;9.256;13.101;1.815;;7.950;9.305;119.313;10.732;7.467;227;
jun-10;Población Económicamente Inactiva;;3.564.926;;2.486.211;1.078.715;;158.145;39.357;47.967;42.157;83.517;101.408;159.957;124.652;928.624;115.927;116.377;209.786;397.185;-;-;-;776.068;108.148;-;-;-;-;-;-;132.474;;500.830;536.150;100.421;60.933;50.171;461.237;722.143;54.326;;986.895;2.578.031;;1.405.487;370.572;326.193;666.424;796.250;;178.776;175.598;2.746.482;296.723;165.076;2.271;
dic-10;Población Total;;14.279.685;;9.475.345;4.804.340;;719.336;186.343;236.106;173.145;426.296;464.493;646.971;493.352;3.770.532;424.880;449.933;785.900;1.375.725;-;-;-;2.816.394;532.309;-;-;-;-;-;-;713.520;;1.615.187;2.292.210;402.527;240.825;204.498;1.765.251;2.724.689;230.157;;7.056.148;7.223.538;;2.719.972;1.763.910;1.701.348;2.733.496;1.372.775;;867.558;585.630;10.498.113;414.936;764.826;8.313;
dic-10;Población menor de 15 años;;3.988.185;;2.498.411;1.489.773;;178.996;55.008;70.718;43.766;128.084;136.498;183.878;172.446;1.111.236;115.632;116.921;221.600;383.986;-;-;-;652.594;128.323;-;-;-;-;-;-;264.922;;334.833;681.446;87.424;66.874;45.599;435.292;773.560;73.383;;2.053.086;1.935.099;;0;0;0;0;0;;250.135;145.078;2.213.232;68.868;169.072;1.490;
dic-10;Población en Edad de Trabajar (PET);;10.291.500;;6.976.934;3.314.567;;540.340;131.335;165.389;129.379;298.212;327.995;463.093;320.906;2.659.295;309.248;333.012;564.300;991.740;-;-;-;2.163.800;403.987;-;-;-;-;-;-;448.599;;1.280.354;1.610.763;315.103;173.951;158.899;1.329.959;1.951.129;156.775;;5.003.062;5.288.438;;2.719.972;1.763.910;1.701.348;2.733.496;1.372.775;;617.423;440.551;8.284.881;346.068;595.753;6.823;
dic-10;Población Económicamente Activa;;6.436.257;;4.318.937;2.117.320;;352.939;89.763;110.540;80.869;207.694;229.040;295.317;188.726;1.636.903;185.172;225.206;320.219;567.573;-;-;-;1.338.980;289.550;-;-;-;-;-;-;294.635;;779.625;1.055.969;194.416;112.998;105.746;824.853;1.141.101;104.229;;3.898.390;2.537.866;;1.223.916;1.382.209;1.341.110;1.997.042;491.980;;453.128;281.760;5.160.077;201.142;335.724;4.425;
dic-10;Empleo;;6.113.230;;4.054.350;2.058.880;;343.224;88.136;106.574;77.420;204.255;226.534;280.911;172.193;1.526.722;175.886;214.403;305.432;530.389;-;-;-;1.266.336;283.974;-;-;-;-;-;-;288.751;;745.855;975.626;189.463;108.100;102.316;768.899;1.062.436;101.654;;3.738.807;2.374.423;;1.082.798;1.297.046;1.297.497;1.949.199;486.690;;447.457;250.584;4.901.689;191.175;318.038;4.287;
dic-10;Empleo Adecuado/Pleno;;2.875.533;;2.326.713;548.819;;175.007;19.737;35.394;23.836;61.334;56.909;144.541;72.731;822.478;69.940;74.437;136.775;186.625;-;-;-;771.702;105.935;-;-;-;-;-;-;110.281;;506.839;585.835;129.431;56.995;57.331;406.147;526.475;57.660;;1.950.471;925.062;;400.861;750.177;687.060;918.491;118.944;;90.586;119.451;2.458.313;103.521;102.088;1.574;
dic-10;Subempleo;;889.255;;559.150;330.106;;34.931;7.814;17.937;16.682;11.705;17.998;51.354;27.762;272.694;28.722;24.960;58.029;115.364;-;-;-;140.733;31.864;-;-;-;-;-;-;29.736;;59.761;137.818;11.985;16.780;7.224;112.324;203.624;9.634;;550.026;339.229;;175.010;181.717;206.994;291.881;33.653;;42.653;45.566;687.605;25.533;87.771;128;
dic-10;Subempleo por insuficiencia de tiempo de trabajo;;673.317;;430.631;242.685;;26.636;4.946;14.511;11.926;7.614;10.368;41.104;20.500;210.342;21.056;17.629;46.479;95.139;-;-;-;103.848;19.588;-;-;-;-;-;-;20.663;;46.521;104.965;9.905;14.034;5.606;84.798;157.762;7.041;;393.098;280.219;;128.262;135.808;151.865;227.722;29.661;;29.380;32.494;513.230;20.827;77.257;128;
dic-10;Subempleo por insuficiencia de ingresos;;215.939;;128.518;87.420;;8.296;2.868;3.427;4.756;4.091;7.631;10.249;7.262;62.352;7.666;7.332;11.550;20.225;-;-;-;36.886;12.276;-;-;-;-;-;-;9.073;;13.240;32.853;2.080;2.746;1.619;27.526;45.863;2.593;;156.928;59.011;;46.749;45.909;55.129;64.159;3.993;;13.273;13.072;174.375;4.706;10.513;0;
dic-10;Empleo no remunerado;;528.991;;178.786;350.206;;35.357;26.036;16.250;5.498;50.963;65.818;11.972;10.463;51.425;10.671;38.443;12.019;31.711;-;-;-;64.062;48.463;-;-;-;-;-;-;48.977;;30.974;31.615;11.799;4.825;10.497;41.534;39.576;7.966;;171.282;357.709;;184.886;86.267;80.652;135.303;41.884;;135.833;10.214;356.601;12.220;13.211;912;
dic-10;Otro Empleo no pleno;;1.765.688;;939.902;825.786;;97.342;34.397;36.903;31.244;78.535;83.963;72.644;61.130;374.278;66.046;76.128;98.609;194.929;-;-;-;253.007;94.795;-;-;-;-;-;-;99.351;;114.763;214.580;35.942;29.501;26.721;201.517;290.733;26.144;;1.037.384;728.304;;317.941;268.356;315.414;579.751;284.226;;176.706;75.211;1.351.824;45.305;114.967;1.673;
dic-10;Empleo no clasificado;;53.763;;49.800;3.963;;587;152;89;160;1.717;1.845;401;108;5.848;508;434;0;1.761;-;-;-;36.831;2.916;-;-;-;-;-;-;406;;33.518;5.779;306;0;543;7.378;2.027;249;;29.644;24.119;;4.100;10.531;7.376;23.773;7.983;;1.680;141;47.346;4.596;0;0;
dic-10;Desempleo;;323.027;;264.587;58.440;;9.715;1.628;3.966;3.449;3.439;2.506;14.407;16.533;110.181;9.285;10.803;14.787;37.183;-;-;-;72.644;5.577;-;-;-;-;-;-;5.884;;33.770;80.342;4.953;4.898;3.430;55.953;78.665;2.575;;159.583;163.443;;141.118;85.163;43.614;47.843;5.289;;5.670;31.176;258.388;9.967;17.687;138;
dic-10;Desempleo Abierto;;224.553;;195.799;28.754;;6.016;778;2.533;1.985;2.346;1.768;10.183;9.464;85.441;5.747;7.055;10.561;19.922;-;-;-;51.542;5.181;-;-;-;-;-;-;3.847;;25.883;68.160;4.042;4.299;3.332;38.826;49.602;1.655;;118.170;106.383;;96.130;60.222;34.018;31.916;2.268;;2.913;21.952;183.199;7.760;8.591;138;
dic-10;Desempleo Oculto;;98.474;;68.788;29.686;;3.699;849;1.432;1.464;1.093;738;4.223;7.069;24.740;3.538;3.747;4.226;17.261;-;-;-;21.102;396;-;-;-;-;-;-;2.037;;7.887;12.182;911;599;97;17.127;29.063;920;;41.413;57.061;;44.988;24.941;9.595;15.928;3.022;;2.757;9.224;75.189;2.207;9.095;0;
dic-10;Desempleo Cesante;;216.213;;184.231;31.982;;6.865;928;2.655;1.717;2.005;1.114;9.612;9.007;83.923;4.633;5.205;8.087;22.557;-;-;-;50.345;3.713;-;-;-;-;-;-;3.561;;27.055;67.651;3.809;3.554;2.562;31.700;46.087;1.813;;116.852;99.361;;72.184;62.902;36.205;40.177;4.745;;2.851;19.571;175.070;8.309;10.273;138;
dic-10;Desempleo Nuevo;;106.814;;80.355;26.458;;2.850;700;1.311;1.732;1.434;1.392;4.795;7.526;26.259;4.652;5.598;6.700;14.626;-;-;-;22.299;1.864;-;-;-;-;-;-;2.323;;6.715;12.691;1.144;1.344;868;24.253;32.578;762;;42.731;64.082;;68.934;22.260;7.409;7.666;544;;2.819;11.605;83.318;1.658;7.414;0;
dic-10;Población Económicamente Inactiva;;3.855.244;;2.657.997;1.197.247;;187.401;41.571;54.849;48.510;90.518;98.955;167.776;132.180;1.022.392;124.077;107.806;244.081;424.167;-;-;-;824.820;114.436;-;-;-;-;-;-;153.964;;500.729;554.795;120.687;60.953;53.154;505.107;810.028;52.545;;1.104.672;2.750.572;;1.496.056;381.701;360.238;736.454;880.795;;164.295;158.791;3.124.804;144.926;260.029;2.398;
jun-11;Población Total;;14.378.837;;9.544.628;4.834.209;;724.330;187.637;237.746;174.347;429.256;467.718;651.464;526.036;3.796.712;427.830;453.057;791.357;1.385.278;-;-;-;2.835.950;536.005;-;-;-;-;-;-;718.475;;1.626.402;2.308.125;405.322;242.497;205.918;1.777.508;2.747.099;231.756;;7.029.208;7.349.629;;2.699.687;1.783.797;1.668.140;2.875.001;1.449.359;;930.065;603.493;10.731.065;435.027;575.601;15.781;
jun-11;Población menor de 15 años;;3.902.852;;2.433.764;1.469.088;;187.930;52.629;66.369;44.313;132.069;124.354;170.250;171.554;1.057.700;116.445;119.960;229.682;393.678;-;-;-;643.308;126.289;-;-;-;-;-;-;252.922;;324.592;633.536;93.248;62.444;47.478;437.719;763.295;71.451;;1.962.190;1.940.663;;0;0;0;0;0;;250.200;157.167;2.209.070;74.460;122.094;2.059;
jun-11;Población en Edad de Trabajar (PET);;10.475.984;;7.110.864;3.365.121;;536.400;135.008;171.377;130.034;297.187;343.364;481.213;354.481;2.739.012;311.385;333.097;561.675;991.599;-;-;-;2.192.642;409.716;-;-;-;-;-;-;465.553;;1.301.810;1.674.589;312.074;180.053;158.440;1.339.789;1.983.804;160.305;;5.067.018;5.408.966;;2.699.687;1.783.797;1.668.140;2.875.001;1.449.359;;679.865;446.326;8.521.996;360.567;453.507;13.722;
jun-11;Población Económicamente Activa;;6.553.789;;4.380.711;2.173.078;;366.252;91.993;116.613;77.500;206.217;244.653;303.555;200.601;1.733.309;178.765;218.907;339.915;547.260;-;-;-;1.319.342;298.636;-;-;-;-;-;-;298.874;;774.535;1.110.190;201.109;114.197;104.197;809.800;1.166.698;99.985;;3.933.550;2.620.239;;1.187.800;1.394.779;1.333.447;2.102.737;535.025;;491.373;268.115;5.305.618;216.055;263.958;8.670;
jun-11;Empleo;;6.224.584;;4.101.975;2.122.609;;353.047;90.231;112.382;73.948;202.793;238.302;287.783;187.679;1.585.149;168.684;211.692;322.716;523.973;-;-;-;1.272.473;290.592;-;-;-;-;-;-;291.817;;745.028;1.003.246;193.807;106.359;100.148;771.716;1.085.054;96.616;;3.764.553;2.460.031;;1.037.546;1.312.028;1.289.219;2.056.282;529.508;;478.397;250.445;5.029.798;199.434;257.914;8.596;
jun-11;Empleo Adecuado/Pleno;;2.789.525;;2.279.869;509.656;;150.240;18.314;29.627;23.187;55.878;57.051;144.697;75.920;806.621;66.729;68.389;127.472;193.645;-;-;-;752.702;104.884;-;-;-;-;-;-;109.313;;499.178;577.688;116.757;62.213;60.303;398.178;506.594;58.956;;1.873.207;916.317;;315.785;708.527;666.202;978.438;120.573;;80.730;103.915;2.410.831;115.555;75.143;3.350;
jun-11;Subempleo;;781.525;;505.913;275.612;;41.949;10.310;14.314;10.770;11.616;32.976;37.119;17.148;263.302;18.180;19.330;51.511;95.776;-;-;-;100.245;28.178;-;-;-;-;-;-;26.516;;46.900;144.676;15.335;10.757;8.068;85.365;189.011;5.801;;470.628;310.897;;147.293;162.545;182.303;252.908;36.477;;50.120;37.284;618.655;21.782;50.145;3.540;
jun-11;Subempleo por insuficiencia de tiempo de trabajo;;582.663;;389.031;193.632;;33.058;5.908;10.698;7.866;9.426;18.800;28.505;12.986;200.900;13.583;14.669;42.415;74.419;-;-;-;72.821;15.983;-;-;-;-;-;-;19.227;;38.381;112.318;12.096;8.996;5.420;62.955;143.850;5.015;;332.053;250.610;;106.110;119.382;133.516;191.554;32.101;;31.289;28.535;461.504;19.736;38.806;2.794;
jun-11;Subempleo por insuficiencia de ingresos;;198.862;;116.882;81.980;;8.891;4.402;3.615;2.904;2.190;14.176;8.614;4.162;62.402;4.597;4.661;9.095;21.357;-;-;-;27.425;12.194;-;-;-;-;-;-;7.289;;8.519;32.358;3.239;1.761;2.648;22.411;45.160;786;;138.574;60.287;;41.183;43.163;48.787;61.354;4.375;;18.831;8.749;157.151;2.046;11.339;746;
jun-11;Empleo no remunerado;;559.469;;196.896;362.573;;38.801;22.104;20.739;5.932;45.086;62.063;19.535;13.810;59.504;12.590;39.563;17.308;41.738;-;-;-;54.264;52.468;-;-;-;-;-;-;53.363;;32.064;34.995;15.092;5.372;11.214;41.411;52.046;4.702;;175.415;384.054;;208.679;90.530;69.134;139.546;51.580;;137.161;12.572;375.833;13.829;19.927;146;
jun-11;Otro Empleo no pleno;;2.032.999;;1.061.550;971.449;;120.940;39.503;46.814;33.819;89.394;85.783;85.130;80.506;448.097;70.783;83.727;126.220;192.814;-;-;-;319.630;104.325;-;-;-;-;-;-;101.937;;122.330;238.263;45.505;27.224;19.825;244.703;336.543;27.157;;1.207.640;825.359;;363.230;332.817;358.826;661.141;316.986;;210.142;95.765;1.570.145;43.189;112.199;1.560;
jun-11;Empleo no clasificado;;61.066;;57.747;3.320;;1.118;0;889;240;818;430;1.301;296;7.625;402;683;206;0;-;-;-;45.631;738;-;-;-;-;-;-;688;;44.555;7.625;1.118;792;738;2.059;860;0;;37.662;23.404;;2.560;17.610;12.755;24.249;3.892;;244;908;54.334;5.080;500;0;
jun-11;Desempleo;;329.205;;278.736;50.469;;13.204;1.763;4.230;3.552;3.424;6.350;15.773;12.922;148.160;10.081;7.215;17.198;23.287;-;-;-;46.869;8.044;-;-;-;-;-;-;7.057;;29.508;106.944;7.301;7.838;4.049;38.083;81.644;3.369;;168.998;160.207;;150.255;82.750;44.228;46.455;5.517;;12.976;17.669;275.820;16.621;6.045;74;
jun-11;Desempleo Abierto;;250.069;;226.439;23.629;;9.456;444;2.954;2.204;2.046;4.560;11.793;9.049;122.997;5.361;4.012;12.088;18.451;-;-;-;34.246;5.527;-;-;-;-;-;-;4.802;;23.971;94.049;6.318;7.250;3.854;25.049;63.456;2.492;;131.911;118.157;;115.360;69.772;34.118;28.530;2.289;;5.823;14.277;213.651;12.942;3.302;74;
jun-11;Desempleo Oculto;;79.136;;52.296;26.840;;3.748;1.318;1.276;1.347;1.378;1.791;3.980;3.872;25.162;4.720;3.203;5.110;4.836;-;-;-;12.623;2.516;-;-;-;-;-;-;2.255;;5.537;12.895;984;588;195;13.035;18.188;877;;37.086;42.050;;34.895;12.979;10.110;17.925;3.228;;7.153;3.393;62.169;3.678;2.743;0;
jun-11;Desempleo Cesante;;218.409;;194.725;23.684;;10.059;658;2.674;1.750;865;4.699;10.632;4.880;106.863;6.974;4.044;10.949;14.254;-;-;-;30.115;4.944;-;-;-;-;-;-;3.972;;21.382;83.364;5.966;5.869;3.506;23.598;49.123;1.917;;122.714;95.695;;76.062;64.008;34.381;39.419;4.539;;7.373;11.298;185.647;11.874;2.217;0;
jun-11;Desempleo Nuevo;;110.796;;84.011;26.785;;3.145;1.105;1.556;1.802;2.559;1.651;5.140;8.041;41.297;3.107;3.172;6.250;9.033;-;-;-;16.754;3.100;-;-;-;-;-;-;3.085;;8.125;23.580;1.335;1.968;543;14.486;32.521;1.451;;46.283;64.512;;74.192;18.743;9.847;7.036;978;;5.603;6.371;90.173;4.747;3.828;74;
jun-11;Población Económicamente Inactiva;;3.922.196;;2.730.153;1.192.043;;170.149;43.015;54.764;52.534;90.970;98.712;177.658;153.880;1.005.703;132.620;114.191;221.760;444.340;-;-;-;873.300;111.080;-;-;-;-;-;-;166.679;;527.275;564.399;110.965;65.857;54.243;529.989;817.106;60.320;;1.133.468;2.788.728;;1.511.886;389.019;334.693;772.264;914.334;;188.493;178.212;3.216.378;144.513;189.549;5.052;
